2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:20:53,248 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:54,251 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:54,251 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:55,253 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:55,254 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:56,255 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:56,255 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:57,257 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:57,258 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:58,260 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:58,263 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:59,265 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:59,266 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:00,267 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:00,267 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:01,269 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:01,270 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:02,271 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:02,271 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:03,275 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:03,279 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:04,281 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:04,281 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:05,282 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:05,283 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:06,285 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:06,285 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:07,287 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:21:07,288 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:21:08,290 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

